Brand,Product_name,Processor,RAM,ROM,Battery,Display_Size,Camera,No_of_ratings,No_of_reviews,Rating,Price
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Violet, 256 GB)",Octa Core,8 GB,256 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,32999.0
SAMSUNG,"SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB)",,8 GB,128 GB,4500 mAh,6.5 inch,12MP Rear Camera,1011,91,4.0,27695.0
POCO,"POCO F5 5G (Electric Blue, 256 GB)",,12 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,500,77,4.2,32999.0
REDMI,"REDMI K50i 5G (Phantom Blue, 256 GB)",Dimensity 8100,8 GB,256 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,871,90,4.2,29990.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1044,89,4.1,20999.0
IQOO,"IQOO Neo 7 5G (Interstellar Black, 256 GB)",,12 GB,256 GB,5000 mAh,6.78 inch,64MP Rear Camera,184,18,4.4,34769.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1044,89,4.1,20999.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1044,89,4.1,20999.0
SAMSUNG,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)",,8 GB,128 GB,4500 mAh,6.4 inch,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,55490,5471,4.3,39999.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)",Octa Core,8 GB,128 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,30999.0
MOTOROLA,"MOTOROLA Edge 30 Fusion (Solar Gold, 128 GB)",,8 GB,128 GB,4400 mAh,6.55 inch,50MP + 13MP + 2MP | 32MP Front Camera,3585,559,4.3,34999.0
OPPO,"OPPO F21 Pro (Sunset Orange, 128 GB)",,8 GB,128 GB,4500 mAh,6.43 inch,64MP Rear Camera,4555,317,4.4,20999.0
OPPO,"OPPO F21s Pro 5G (Starlight Black, 128 GB)",,8 GB,128 GB,4500 mAh,6.43 inch,64MP + 2MP + 2MP | 16MP + 2MP Dual Front Camera,810,55,4.2,24375.0
Xiaomi,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)",Mediatek Dimensity 920,6 GB,128 GB,4500 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,12092,1200,4.2,23999.0
vivo,"vivo Y35 (Dawn Gold, 128 GB)",Qualcomm Snapdragon 680,8 GB,128 GB,5000 mAh,6.58 inch,50MP + 2MP + 2MP | 16MP Front Camera,3200,211,4.4,22999.0
SAMSUNG,"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",,8 GB,128 GB,4500 mAh,6.4 inch,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,55490,5471,4.3,39999.0
Tecno,"Tecno Phantom X (Summer Sunset, 256 GB)",,8 GB,256 GB,4700 mAh,6.7 inch,13MP Rear Camera,0,0,,21999.0
vivo,"vivo V23 5G (Sunshine Gold, 128 GB)",Mediatek Dimensity 920,8 GB,128 GB,4200 mAh,6.44 inch,64MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera,26436,2988,4.4,31989.0
vivo,"vivo T1 Pro 5G (Turbo Black, 128 GB)",Qualcomm Snapdragon 778G 5G Mobile Platform,8 GB,128 GB,4700 mAh,6.44 inch,64MP + 8MP + 2MP | 16MP Front Camera,19705,1920,4.4,24999.0
APPLE,"APPLE iPhone 14 Plus (Midnight, 128 GB)",6 Core Processor,,128 GB,,6.7 inch,12MP + 12MP | 12MP Front Camera,11037,676,4.7,80999.0
MOTOROLA,"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)",Gen 1,12 GB,256 GB,4610 mAh,6.67 inch,200MP + 50MP + 12MP | 60MP Front Camera,566,97,4.3,49999.0
SAMSUNG,"SAMSUNG Galaxy M53 5G (Emerald Brown, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,108MP Rear Camera,453,45,4.0,25461.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Lime, 256 GB)",Octa Core,8 GB,256 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,32999.0
APPLE,"APPLE iPhone 14 Plus (Purple, 128 GB)",6 Core Processor,,128 GB,,6.7 inch,12MP + 12MP | 12MP Front Camera,11037,676,4.7,80999.0
vivo,"vivo V27 5G (Noble Black, 256 GB)",Mediatek Dimensity 7200 5G,12 GB,256 GB,4600 mAh,,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,1942,230,4.4,38999.0
IQOO,"IQOO Neo 7 5G (Frost Blue, 128 GB)",,8 GB,128 GB,5000 mAh,6.78 inch,64MP Rear Camera,385,42,4.5,30295.0
vivo,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",Qualcomm Snapdragon 778G 5G Mobile Platform,8 GB,128 GB,4700 mAh,6.44 inch,64MP + 8MP + 2MP | 16MP Front Camera,19705,1920,4.4,24999.0
SAMSUNG,"SAMSUNG Galaxy A54 5G (Awesome Graphite, 256 GB)",Octa Core,8 GB,256 GB,5000 mAh,6.4 inch,50MP + 12MP + 5MP | 32MP Front Camera,426,39,4.3,40999.0
OnePlus,"OnePlus 8 (Glacial Green, 128 GB)",Qualcomm Snapdragon 865,6 GB,128 GB,4300 mAh,6.55 inch,,23,1,3.4,29888.0
APPLE,"APPLE iPhone 14 Plus (Blue, 128 GB)",6 Core Processor,,128 GB,,6.7 inch,12MP + 12MP | 12MP Front Camera,11037,676,4.7,80999.0
APPLE,"APPLE iPhone 14 Plus (Starlight, 128 GB)",6 Core Processor,,128 GB,,6.7 inch,12MP + 12MP | 12MP Front Camera,11037,676,4.7,80999.0
vivo,"vivo V25 Pro 5G (Sailing Blue, 128 GB)",Mediatek Dimensity 1300,8 GB,128 GB,4830 mAh,6.56 inch,64MP + 8MP + 2MP | 32MP Front Camera,6761,885,4.3,35999.0
SAMSUNG,"SAMSUNG Galaxy A54 5G (Awesome Violet, 256 GB)",Octa Core,8 GB,256 GB,5000 mAh,6.4 inch,50MP + 12MP + 5MP | 32MP Front Camera,426,39,4.3,40999.0
vivo,"vivo T1 Pro 5G (Turbo Black, 128 GB)",Qualcomm Snapdragon 778G 5G Mobile Platform,6 GB,128 GB,4700 mAh,6.44 inch,64MP + 8MP + 2MP | 16MP Front Camera,9010,855,4.4,23999.0
vivo,"vivo V25 Pro 5G (Sailing Blue, 256 GB)",Mediatek Dimensity 1300,12 GB,256 GB,4830 mAh,6.56 inch,64MP + 8MP + 2MP | 32MP Front Camera,1131,131,4.3,33390.0
vivo,"vivo V25 5G (Elegant Black, 128 GB)",Mediatek Dimensity 900,8 GB,128 GB,4500 mAh,6.44 inch,64MP + 8MP + 2MP | 50MP Front Camera,7653,727,4.3,27999.0
SAMSUNG,"SAMSUNG Galaxy M53 5G (Mystique Green, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,108MP Rear Camera,453,45,4.0,24900.0
APPLE,"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)",6 Core Processor,,128 GB,,6.7 inch,12MP + 12MP | 12MP Front Camera,11037,676,4.7,78999.0
vivo,"vivo Y56 5G (Orange Shimmer, 128 GB)",Mediatek Dimensity 700,8 GB,128 GB,5000 mAh,6.58 inch,50MP + 2MP | 16MP Front Camera,1140,70,4.2,20499.0
OPPO,"OPPO A 78 5G (Glowing Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.56 inch,50MP Rear Camera,75,3,4.1,21390.0
vivo,"vivo V25 5G (Elegant Black, 256 GB)",Mediatek Dimensity 900,12 GB,256 GB,4500 mAh,6.44 inch,64MP + 8MP + 2MP | 50MP Front Camera,1657,177,4.2,29499.0
vivo,"vivo V25 5G (Surfing Blue, 128 GB)",Mediatek Dimensity 900,8 GB,128 GB,4500 mAh,6.44 inch,64MP + 8MP + 2MP | 50MP Front Camera,7653,727,4.3,25999.0
vivo,"vivo V25 Pro 5G (Pure Black, 128 GB)",Mediatek Dimensity 1300,8 GB,128 GB,4830 mAh,6.56 inch,64MP + 8MP + 2MP | 32MP Front Camera,6761,885,4.3,35999.0
realme,"realme GT Master Edition (Luna White, 256 GB)",Qualcomm Snapdragon 778G,8 GB,256 GB,4300 mAh,6.43 inch,64MP + 8MP + 2MP | 32MP Front Camera,62957,6668,4.3,24999.0
OnePlus,"OnePlus Nord (Gray Onyx, 256 GB)",765G,12 GB,256 GB,4115 mAh,6.44 inch,48MP + 8MP | 32MP + 8MP Dual Front Camera,0,0,,26990.0
OnePlus,"OnePlus 8 Pro (Onyx Black, 128 GB)",Qualcomm Snapdragon 865,8 GB,128 GB,4510 mAh,6.78 inch,48MP + 8MP + 5MP | 16MP Front Camera,16,2,4.6,48999.0
Mi,"Mi 11 Lite (Vinyl Black, 128 GB)",Qualcomm Snapdragon 732G,6 GB,128 GB,4250 mAh,6.55 inch,64MP + 8MP + 5MP | 16MP Front Camera,13149,1427,4.2,21999.0
Mi,"Mi 11 Lite (Jazz Blue, 128 GB)",Qualcomm Snapdragon 732G,8 GB,128 GB,4250 mAh,6.55 inch,64MP + 8MP + 5MP | 16MP Front Camera,6103,615,4.2,21999.0
vivo,"vivo X90 (Asteroid Black, 256 GB)",Dimensity 9200,12 GB,256 GB,4810 mAh,6.78 inch,50MP + 12MP + 12MP | 32MP Front Camera,121,19,4.3,63999.0
realme,"realme GT Master Edition (Daybreak Blue, 256 GB)",Qualcomm Snapdragon 778G,8 GB,256 GB,4300 mAh,6.43 inch,64MP + 8MP + 2MP | 32MP Front Camera,62957,6668,4.3,24999.0
SAMSUNG,"SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)",,8 GB,128 GB,4500 mAh,6.4 inch,12MP + 12MP + 8MP (OIS) | 32MP Front Camera,55490,5471,4.3,39999.0
vivo,"vivo Y100 5G (Metal Black, 128 GB)",Mediatek Dimensity 900,8 GB,128 GB,4500 mAh,6.38 inch,64MP (OIS) + 2MP + 2MP | 16MP Front Camera,1394,89,4.3,25499.0
MOTOROLA,"MOTOROLA edge 30 (Meteor Grey, 128 GB)",Qualcomm Snapdragon 778G Plus,6 GB,128 GB,4020 mAh,6.55 inch,50MP + 50MP + 2MP | 32MP Front Camera,11080,1421,4.1,24999.0
SAMSUNG,"SAMSUNG Galaxy S20 FE (Cloud Lavender, 128 GB)",Exynos Octa Core,8 GB,128 GB,4500 mAh,6.5 inch,12MP + 12MP + 8MP Rear Camera | 32MP Front Camera,1011,91,4.0,29900.0
SAMSUNG,"SAMSUNG Galaxy S22 Plus 5G (Green, 128 GB)",Qualcomm Snapdragon 8 Gen 1,8 GB,128 GB,4500 mAh,6.6 inch,50MP + 12MP + 10MP | 10MP Front Camera,3299,372,4.5,49999.0
Google,"Google Pixel 7 Pro (Obsidian, 128 GB)",Google Tensor G2,12 GB,128 GB,4926 mAh,6.7 inch,8MP Front Camera,2682,431,4.4,80999.0
SAMSUNG,"SAMSUNG Galaxy A73 5G (Awesome Gray, 256 GB)",Qualcomm Snapdragon 778G,8 GB,256 GB,5000 mAh,6.7 inch,108MP + 12MP + 5MP + 5MP | 32MP Front Camera,1640,213,4.2,39899.0
vivo,"vivo Y100A (Twilight Gold, 256 GB)",Snapdragon 695,8 GB,256 GB,4500 mAh,6.38 inch,64MP + 2MP + 2MP | 16MP Front Camera,30,3,4.2,25999.0
vivo,"vivo Y100A (Metal Black, 256 GB)",Snapdragon 695,8 GB,256 GB,4500 mAh,6.38 inch,64MP + 2MP + 2MP | 16MP Front Camera,30,3,4.2,25999.0
SAMSUNG,"SAMSUNG Galaxy M53 5G (Deep Ocean Blue, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,108MP Rear Camera,453,45,4.0,33990.0
POCO,"POCO X2 (Phoenix Red, 256 GB)",Qualcomm Snapdragon 730G,8 GB,256 GB,4500 mAh,6.67 inch,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,60976,6992,4.5,20999.0
OPPO,"OPPO Reno8 5G (Shimmer Black, 128 GB)",Mediatek Dimensity 1300,8 GB,128 GB,4500 mAh,6.43 inch,50MP + 8MP + 2MP | 32MP Front Camera,37376,4639,4.3,29999.0
OPPO,"OPPO Reno8 5G (Shimmer Gold, 128 GB)",Mediatek Dimensity 1300,8 GB,128 GB,4500 mAh,6.43 inch,50MP + 8MP + 2MP | 32MP Front Camera,37376,4639,4.3,29999.0
realme,"realme GT 2 (Paper White, 256 GB)",Qualcomm Snapdragon 888,12 GB,256 GB,5000 mAh,6.62 inch,50MP + 8MP + 2MP | 16MP Front Camera,1316,173,4.4,32999.0
realme,"realme GT 2 (Steel Black, 256 GB)",Qualcomm Snapdragon 888,12 GB,256 GB,5000 mAh,6.62 inch,50MP + 8MP + 2MP | 16MP Front Camera,1316,173,4.4,32299.0
OnePlus,"OnePlus 10R 5G (Forest Green, 256 GB)",,12 GB,256 GB,5000 mAh,6.7 inch,50MP Rear Camera,1560,108,4.2,37400.0
Google,"Google Pixel 7 Pro (Hazel, 128 GB)",Google Tensor G2,12 GB,128 GB,4926 mAh,6.7 inch,8MP Front Camera,2682,431,4.4,80999.0
Google,"Google Pixel 7 Pro (Snow, 128 GB)",Google Tensor G2,12 GB,128 GB,4926 mAh,6.7 inch,8MP Front Camera,2682,431,4.4,80999.0
vivo,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",Qualcomm Snapdragon 778G 5G Mobile Platform,6 GB,128 GB,4700 mAh,6.44 inch,64MP + 8MP + 2MP | 16MP Front Camera,9010,855,4.4,23999.0
SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Lime, 128 GB)",Octa Core,8 GB,128 GB,5000 mAh,6.6 inch,48MP + 8MP + 5MP | 13MP Front Camera,764,66,4.2,30999.0
MOTOROLA,"MOTOROLA Edge 40 (Lunar Blue, 256 GB)",Dimensity 8020,8 GB,256 GB,4400 mAh,6.55 inch,50MP + 13MP | 32MP Front Camera,2151,482,4.3,29999.0
IQOO,"IQOO Neo 7 (Frost Blue, 256 GB)",,12 GB,256 GB,5000 mAh,6.78 inch,64MP + 2MP + 2MP | 16MP + 16MP Dual Front Camera,5,1,4.6,33990.0
vivo,"vivo V25 Pro 5G (Pure Black, 256 GB)",Mediatek Dimensity 1300,12 GB,256 GB,4830 mAh,6.56 inch,64MP + 8MP + 2MP | 32MP Front Camera,1131,131,4.3,30650.0
vivo,"vivo X90 (Breeze Blue, 256 GB)",Dimensity 9200,8 GB,256 GB,4810 mAh,6.78 inch,50MP + 12MP + 12MP | 32MP Front Camera,345,74,4.4,59999.0
REDMI,"REDMI Note 11s (Space Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.43 inch,50MP Rear Camera,1383,114,4.2,21900.0
OnePlus,"OnePlus Nord 2 5G (Gray Sierra, 128 GB)",,8 GB,128 GB,4500 mAh,6.43 inch,50MP Rear Camera,1939,190,4.4,26999.0
vivo,"vivo V27 Pro 5G (Magic Blue, 256 GB)",Mediatek Dimensity 8200,12 GB,256 GB,4600 mAh,6.78 inch,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,904,109,4.5,42999.0
OnePlus,"OnePlus 10R 5G (Sierra Black, 256 GB)",,12 GB,256 GB,5000 mAh,6.7 inch,50MP Rear Camera,1560,108,4.2,37499.0
SAMSUNG,"SAMSUNG Galaxy M33 5G (Emerald Brown, 128 GB)",,8 GB,128 GB,6000 mAh,6.6 inch,50MP Rear Camera,2556,177,4.2,20691.0
MOTOROLA,"MOTOROLA Edge 30 Fusion (Viva Magenta, 128 GB)",,8 GB,128 GB,4400 mAh,6.55 inch,50MP + 13MP + 2MP | 32MP Front Camera,3585,559,4.3,37999.0
Infinix,"Infinix Zero Ultra (Coslight Silver, 256 GB)",Mediatek Dimensity 920,8 GB,256 GB,4500 mAh,6.8 inch,200MP + 13MP + 2MP | 32MP Front Camera,1146,183,4.1,29999.0
Infinix,"Infinix Zero Ultra (Genesis Noir, 256 GB)",Mediatek Dimensity 920,8 GB,256 GB,4500 mAh,6.8 inch,200MP + 13MP + 2MP | 32MP Front Camera,1146,183,4.1,29999.0
vivo,"vivo X90 (Breeze Blue, 256 GB)",Dimensity 9200,12 GB,256 GB,4810 mAh,6.78 inch,50MP + 12MP + 12MP | 32MP Front Camera,121,19,4.3,63999.0
vivo,"vivo Y75 (Dancing waves, 128 GB)",Mediatek G96,8 GB,128 GB,4050 mAh,6.44 inch,50MP + 8MP + 2MP | 44MP Front Camera,2723,205,4.3,20299.0
OnePlus,"OnePlus 10R 5G (Sierra Black, 256 GB)",,12 GB,256 GB,4500 mAh,6.7 inch,50MP Rear Camera,1560,108,4.2,36890.0
APPLE,"APPLE iPhone 12 (White, 64 GB)",A14 Bionic Chip with Next Generation Neural Engine,,64 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,189485,12845,4.6,53999.0
vivo,"vivo V23e 5G (Midnight Blue, 128 GB)",Mediatek Dimensity 810,8 GB,128 GB,4050 mAh,6.44 inch,50MP + 8MP + 2MP | 44MP Front Camera,2449,219,4.2,24500.0
vivo,"vivo X90 (Asteroid Black, 256 GB)",Dimensity 9200,8 GB,256 GB,4810 mAh,6.78 inch,50MP + 12MP + 12MP | 32MP Front Camera,345,74,4.4,59999.0
APPLE,"APPLE iPhone 12 (Blue, 64 GB)",A14 Bionic Chip with Next Generation Neural Engine,,64 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,189485,12845,4.6,53999.0
APPLE,"APPLE iPhone 12 (Black, 64 GB)",A14 Bionic Chip with Next Generation Neural Engine,,64 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,189485,12845,4.6,53999.0
OPPO,"OPPO F21s Pro (Starlight Black, 128 GB)",,8 GB,128 GB,4500 mAh,6.43 inch,64MP + 2MP + 2MP | 32MP + 2MP Dual Front Camera,521,39,4.1,20885.0
MOTOROLA,"MOTOROLA Edge 40 (Nebula Green, 256 GB)",Dimensity 8020,8 GB,256 GB,4400 mAh,6.55 inch,50MP + 13MP | 32MP Front Camera,2151,482,4.3,29999.0
OnePlus,"OnePlus 11 5G (Titan Black, 256 GB)",,16 GB,256 GB,5000 mAh,6.7 inch,50MP Rear Camera,471,49,4.5,61888.0
SAMSUNG,"SAMSUNG Galaxy A73 5G (Awesome White, 128 GB)",Qualcomm Snapdragon 778G,8 GB,128 GB,5000 mAh,6.7 inch,108MP + 12MP + 5MP + 5MP | 32MP Front Camera,1640,213,4.2,36990.0
SAMSUNG,"SAMSUNG M53 5G (Mystique Green, 128 GB)",,6 GB,128 GB,5000 mAh,6.7 inch,108MP Rear Camera,707,74,4.1,25200.0
OnePlus,"OnePlus 11 5G (Titan Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,50MP Rear Camera,190,17,4.4,55899.0
vivo,"vivo V27 Pro 5G (Noble Black, 256 GB)",Mediatek Dimensity 8200,8 GB,256 GB,4600 mAh,6.78 inch,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,5183,762,4.4,39999.0
SAMSUNG,"SAMSUNG Galaxy S23 5G (Cream, 256 GB)",Qualcomm Snapdragon 8 Gen 2,8 GB,256 GB,3900 mAh,6.1 inch,50MP + 10MP + 12MP | 12MP Front Camera,1699,264,4.6,79999.0
SAMSUNG,"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)",Qualcomm Snapdragon 8 Gen 2,8 GB,256 GB,3900 mAh,6.1 inch,50MP + 10MP + 12MP | 12MP Front Camera,1699,264,4.6,79999.0
POCO,"POCO X2 (Matrix Purple, 256 GB)",Qualcomm Snapdragon 730G,8 GB,256 GB,4500 mAh,6.67 inch,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,60976,6992,4.5,20999.0
vivo,"vivo X90 Pro (Legendary Black, 256 GB)",Dimensity 9200,12 GB,256 GB,4870 mAh,6.78 inch,50MP + 50MP + 12MP | 32MP Front Camera,236,57,4.4,84999.0
APPLE,"APPLE iPhone 14 Pro (Space Black, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,48MP + 12MP + 12MP | 12MP Front Camera,1326,99,4.7,119999.0
APPLE,"APPLE iPhone 14 Pro Max (Space Black, 128 GB)",6 Core Processor,,128 GB,,6.7 inch,48MP + 12MP + 12MP | 12MP Front Camera,1500,111,4.6,127999.0
vivo,"vivo V21 5G (Dusk Blue, 128 GB)",MediaTek Dimensity 800U,8 GB,128 GB,4000 mAh,6.44 inch,64MP + 8MP + 2MP | 44MP Front Camera,17463,1721,4.3,27990.0
vivo,"vivo V27 Pro 5G (Magic Blue, 256 GB)",Mediatek Dimensity 8200,8 GB,256 GB,4600 mAh,6.78 inch,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,5183,762,4.4,39999.0
vivo,"vivo V27 Pro 5G (Magic Blue, 128 GB)",Mediatek Dimensity 8200,8 GB,128 GB,4600 mAh,6.78 inch,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,5183,762,4.4,37999.0
vivo,"vivo V27 Pro 5G (Noble Black, 128 GB)",Mediatek Dimensity 8200,8 GB,128 GB,4600 mAh,6.78 inch,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,5183,762,4.4,37999.0
vivo,"vivo V23e 5G (Sunshine Gold, 128 GB)",Mediatek Dimensity 810,8 GB,128 GB,4050 mAh,6.44 inch,50MP + 8MP + 2MP | 44MP Front Camera,2449,219,4.2,23499.0
OnePlus,"OnePlus 11 5G (Eternal Green, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,50MP Rear Camera,190,17,4.4,55399.0
SAMSUNG,"SAMSUNG Galaxy A54 5G (Awesome Lime, 128 GB)",Octa Core,8 GB,128 GB,5000 mAh,6.4 inch,50MP + 12MP + 5MP | 32MP Front Camera,426,39,4.3,38999.0
OnePlus,"OnePlus 10R 5G (Forest Green, 256 GB)",,12 GB,256 GB,5000 mAh,6.7 inch,50MP Rear Camera,1560,108,4.2,36990.0
Mi,"Mi 10T (Cosmic Black, 128 GB)",Qualcomm Snapdragon 865,6 GB,128 GB,5000 mAh,6.67 inch,64MP + 13MP + 5MP | 20MP Front Camera,4036,563,4.2,27990.0
APPLE,"APPLE iPhone 12 (Green, 64 GB)",A14 Bionic Chip with Next Generation Neural Engine,,64 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,189485,12845,4.6,53999.0
APPLE,"APPLE iPhone 14 Pro (Deep Purple, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,48MP + 12MP + 12MP | 12MP Front Camera,1326,99,4.7,119999.0
POCO,"POCO F3 GT 5G (Predator Black, 128 GB)",MediaTek Dimensity 1200,8 GB,128 GB,5065 mAh,6.67 inch,64MP + 8MP + 2MP | 16MP Front Camera,15058,1967,4.3,34999.0
SAMSUNG,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",,6 GB,128 GB,5000 mAh,6.6 inch,50MP + 2MP | 13MP Front Camera,1783,142,4.0,20199.0
realme,"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)",Dimensity 920 5G Processor,8 GB,128 GB,5000 mAh,6.4 inch,48MP Rear Camera,116,4,4.2,21999.0
SAMSUNG,"SAMSUNG Galaxy S20 FE (Cloud Navy, 128 GB)",,8 GB,128 GB,4500 mAh,6.5 inch,12MP Rear Camera,1011,91,4.0,27990.0
realme,"realme GT Master Edition (Voyager Grey, 256 GB)",Qualcomm Snapdragon 778G,8 GB,256 GB,4300 mAh,6.43 inch,64MP + 8MP + 2MP | 32MP Front Camera,62957,6668,4.3,24999.0
Mi,"Mi 11X (Cosmic Black, 128 GB)",Qualcomm Snapdragon 870,6 GB,128 GB,4520 mAh,6.67 inch,48MP + 8MP + 5MP | 20MP Front Camera,2935,283,4.2,33999.0
